locus_tag	ftype	length_bp	gene	EC_number	COG	product
MAMBLCDF_00095	CDS	1035	asd2	1.2.1.11	COG0136	Aspartate-semialdehyde dehydrogenase 2
MAMBLCDF_00096	CDS	1074				hypothetical protein
MAMBLCDF_00097	CDS	303				hypothetical protein
MAMBLCDF_00098	CDS	1437	hss_1	2.5.1.44		Homospermidine synthase
MAMBLCDF_00099	CDS	537	eis_1	2.3.1.-		N-acetyltransferase Eis
MAMBLCDF_00100	CDS	1146	ldc_1	4.1.1.17		Lysine/ornithine decarboxylase
MAMBLCDF_00101	CDS	213				hypothetical protein
MAMBLCDF_00102	CDS	1578	mdoG_1		COG3131	Glucans biosynthesis protein G
MAMBLCDF_00103	CDS	429	tdcF	3.5.4.-	COG0251	Putative reactive intermediate deaminase TdcF
MAMBLCDF_00104	CDS	699				hypothetical protein
MAMBLCDF_00105	CDS	618				hypothetical protein
MAMBLCDF_00106	CDS	1179	zapE		COG1485	Cell division protein ZapE
MAMBLCDF_00107	CDS	600	slmA_1			Nucleoid occlusion factor SlmA
MAMBLCDF_00108	CDS	963	mdh_1	1.1.1.37	COG0039	Malate dehydrogenase
MAMBLCDF_00109	CDS	1197	sucC_1	6.2.1.5	COG0045	Succinate--CoA ligase [ADP-forming] subunit beta
MAMBLCDF_00110	CDS	885	sucD_1	6.2.1.5	COG0074	Succinate--CoA ligase [ADP-forming] subunit alpha
MAMBLCDF_00111	CDS	2958	sucA_1	1.2.4.2	COG0567	2-oxoglutarate dehydrogenase E1 component
MAMBLCDF_00112	CDS	1218	sucB_1	2.3.1.61	COG0508	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex
MAMBLCDF_00113	CDS	1398	lpd3	1.8.1.4	COG1249	Dihydrolipoyl dehydrogenase 3
MAMBLCDF_00114	CDS	864	folD_1		COG0190	Bifunctional protein FolD protein
MAMBLCDF_00115	CDS	672	gntR_1			putative D-xylose utilization operon transcriptional repressor
MAMBLCDF_00116	CDS	996	yiaO_1		COG1638	2,3-diketo-L-gulonate-binding periplasmic protein YiaO
MAMBLCDF_00117	CDS	516	uehB_1		COG3090	Ectoine/5-hydroxyectoine TRAP transporter small permease protein UehB
MAMBLCDF_00118	CDS	1275	dctM_1		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MAMBLCDF_00119	CDS	1182	gci_1	5.5.1.27	COG4948	D-galactarolactone cycloisomerase
MAMBLCDF_00120	CDS	96				hypothetical protein
MAMBLCDF_00121	CDS	1329	codAch2	3.5.4.11	COG0402	Pterin deaminase
MAMBLCDF_00122	CDS	1425				hypothetical protein
MAMBLCDF_00123	CDS	582	azoR_1	1.7.1.17		FMN-dependent NADH-azoreductase
MAMBLCDF_00124	CDS	474	slyA_1			Transcriptional regulator SlyA
MAMBLCDF_00125	CDS	918	ribN_2			Riboflavin transporter
MAMBLCDF_00126	CDS	912		1.1.1.373		3-sulfolactaldehyde reductase
MAMBLCDF_00127	CDS	1161	degA		COG1609	HTH-type transcriptional regulator DegA
MAMBLCDF_00128	CDS	891	ltnD	1.1.1.411	COG2084	L-threonate dehydrogenase
MAMBLCDF_00129	CDS	903	ycjP_1		COG0395	Inner membrane ABC transporter permease protein YcjP
MAMBLCDF_00130	CDS	954				hypothetical protein
MAMBLCDF_00131	CDS	1308				hypothetical protein
MAMBLCDF_00132	CDS	1053	ugpC_1	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
MAMBLCDF_00133	CDS	759	nanR_1			HTH-type transcriptional repressor NanR
MAMBLCDF_00134	CDS	975		1.1.1.215	COG1052	2-ketogluconate reductase
MAMBLCDF_00135	CDS	813				hypothetical protein
MAMBLCDF_00136	CDS	984	denD_1	1.1.1.410	COG0451	D-erythronate dehydrogenase
MAMBLCDF_00137	CDS	993	denD_2	1.1.1.410	COG0451	D-erythronate dehydrogenase
MAMBLCDF_00138	CDS	747		1.1.1.-		2-keto-3-deoxy-L-fuconate dehydrogenase
MAMBLCDF_00139	CDS	447				hypothetical protein
MAMBLCDF_00140	CDS	678				hypothetical protein
MAMBLCDF_00141	CDS	327				hypothetical protein
MAMBLCDF_00142	CDS	840			COG2513	putative protein
MAMBLCDF_00143	CDS	1851	araC_1	4.2.1.25		L-arabonate dehydratase
MAMBLCDF_00144	CDS	1185	aspC_1	2.6.1.1		Aspartate aminotransferase
MAMBLCDF_00145	CDS	330	emrE		COG2076	Multidrug transporter EmrE
MAMBLCDF_00146	CDS	912				hypothetical protein
MAMBLCDF_00147	CDS	126	rpmJ		COG0257	50S ribosomal protein L36
MAMBLCDF_00148	CDS	672				hypothetical protein
MAMBLCDF_00149	CDS	957	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
MAMBLCDF_00150	CDS	414				hypothetical protein
MAMBLCDF_00151	CDS	711				hypothetical protein
MAMBLCDF_00152	CDS	729	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
MAMBLCDF_00153	CDS	1305	pncB	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase
MAMBLCDF_00154	CDS	1440	ttuE	2.7.1.40		Pyruvate kinase
MAMBLCDF_00155	CDS	453				hypothetical protein
MAMBLCDF_00156	CDS	1308	ttuD_1	1.1.1.81		Putative hydroxypyruvate reductase
MAMBLCDF_00157	CDS	786				hypothetical protein
MAMBLCDF_00158	CDS	243				hypothetical protein
MAMBLCDF_00159	CDS	696				hypothetical protein
MAMBLCDF_00160	CDS	588				hypothetical protein
MAMBLCDF_00161	CDS	966	dmlR_1			HTH-type transcriptional regulator DmlR
MAMBLCDF_00162	CDS	609	yibF_1		COG0625	putative GST-like protein YibF
MAMBLCDF_00163	CDS	3150	bepG			Efflux pump membrane transporter BepG
MAMBLCDF_00164	CDS	1188	bepF_1			Efflux pump periplasmic linker BepF
MAMBLCDF_00165	CDS	1779				hypothetical protein
MAMBLCDF_00166	CDS	1905				hypothetical protein
MAMBLCDF_00167	CDS	1569	zraR		COG2204	Transcriptional regulatory protein ZraR
MAMBLCDF_00168	CDS	1257				hypothetical protein
MAMBLCDF_00169	CDS	1857	pepF1	3.4.24.-		Oligoendopeptidase F, plasmid
MAMBLCDF_00170	CDS	888				hypothetical protein
MAMBLCDF_00171	CDS	438				hypothetical protein
MAMBLCDF_00172	CDS	2211	purL_1	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase subunit PurL
MAMBLCDF_00173	CDS	237			COG0271	putative protein RP812
MAMBLCDF_00174	CDS	273				hypothetical protein
MAMBLCDF_00175	CDS	336	grxD_1		COG0278	Glutaredoxin 4
MAMBLCDF_00176	CDS	1785				hypothetical protein
MAMBLCDF_00177	CDS	2214	ybiO		COG0668	Moderate conductance mechanosensitive channel YbiO
MAMBLCDF_00178	CDS	627	tlpA		COG0526	Thiol:disulfide interchange protein TlpA
MAMBLCDF_00179	CDS	1395	argH_1	4.3.2.1	COG0165	Argininosuccinate lyase
MAMBLCDF_00180	CDS	264				hypothetical protein
MAMBLCDF_00181	CDS	1290	lysA_1	4.1.1.20	COG0019	Diaminopimelate decarboxylase
MAMBLCDF_00182	CDS	2706				hypothetical protein
MAMBLCDF_00183	CDS	1308	cefD	5.1.1.17	COG0520	Isopenicillin N epimerase
MAMBLCDF_00184	CDS	630				hypothetical protein
MAMBLCDF_00185	CDS	1215				hypothetical protein
MAMBLCDF_00186	CDS	1155	metB	2.5.1.48	COG0626	Cystathionine gamma-synthase
MAMBLCDF_00187	CDS	510	crtK-2		COG3476	Tryptophan-rich protein TspO
MAMBLCDF_00188	CDS	408	vapC2	3.1.-.-	COG1487	Ribonuclease VapC2
MAMBLCDF_00189	CDS	270				hypothetical protein
MAMBLCDF_00190	CDS	375	cpdR_1			Response regulator receiver protein CpdR
MAMBLCDF_00191	CDS	561	hpt	2.4.2.8	COG0634	Hypoxanthine phosphoribosyltransferase
MAMBLCDF_00192	CDS	861				hypothetical protein
MAMBLCDF_00193	CDS	660	ftsE_2		COG2884	Cell division ATP-binding protein FtsE
MAMBLCDF_00194	CDS	1026				hypothetical protein
MAMBLCDF_00195	CDS	747				hypothetical protein
MAMBLCDF_00196	CDS	783				hypothetical protein
MAMBLCDF_00197	CDS	387				hypothetical protein
MAMBLCDF_00198	CDS	558	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
MAMBLCDF_00199	CDS	1065				hypothetical protein
MAMBLCDF_00200	CDS	897	rpoH_1		COG0568	RNA polymerase sigma factor RpoH
MAMBLCDF_00201	CDS	1029	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
MAMBLCDF_00202	CDS	1680				hypothetical protein
MAMBLCDF_00203	CDS	2022				hypothetical protein
MAMBLCDF_00204	CDS	1005	hemC_1	2.5.1.61	COG0181	Porphobilinogen deaminase
MAMBLCDF_00205	CDS	1044	tsaD_1	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
MAMBLCDF_00206	CDS	996	gpsA_1	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
MAMBLCDF_00207	CDS	333				hypothetical protein
MAMBLCDF_00208	CDS	411				hypothetical protein
MAMBLCDF_00209	CDS	1953	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
MAMBLCDF_00210	CDS	459	fur_1		COG0735	Ferric uptake regulation protein
MAMBLCDF_00211	CDS	921	yfeA_1		COG0803	Periplasmic chelated iron-binding protein YfeA
MAMBLCDF_00212	CDS	912	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MAMBLCDF_00213	CDS	855	mntB_1			Manganese transport system membrane protein MntB
MAMBLCDF_00214	CDS	870	mntB_2			Manganese transport system membrane protein MntB
MAMBLCDF_00215	CDS	258				hypothetical protein
MAMBLCDF_00216	CDS	1206	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
MAMBLCDF_00217	CDS	831	tsaQ1			HTH-type transcriptional regulator TsaQ1/TsaQ2
MAMBLCDF_00218	CDS	753	paaF_1	4.2.1.17	COG1024	2,3-dehydroadipyl-CoA hydratase
MAMBLCDF_00219	CDS	951				hypothetical protein
MAMBLCDF_00220	CDS	2076	fadJ_1		COG1024	Fatty acid oxidation complex subunit alpha
MAMBLCDF_00221	CDS	1188	fadA_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
MAMBLCDF_00222	CDS	1197		1.3.99.-		Acyl-CoA dehydrogenase FadE29
MAMBLCDF_00223	CDS	1149	pigA	1.3.8.14		L-prolyl-[peptidyl-carrier protein] dehydrogenase
MAMBLCDF_00224	CDS	480	decR_1		COG1522	DNA-binding transcriptional activator DecR
MAMBLCDF_00225	CDS	522				hypothetical protein
MAMBLCDF_00226	CDS	681	cnbA	1.7.1.16		Chloronitrobenzene nitroreductase
MAMBLCDF_00227	CDS	1713	lysS_1	6.1.1.6	COG1384	Lysine--tRNA ligase
MAMBLCDF_00228	CDS	1170	hipO_1	3.5.1.32	COG1473	Hippurate hydrolase
MAMBLCDF_00229	CDS	897	mltF_1	4.2.2.-		Membrane-bound lytic murein transglycosylase F
MAMBLCDF_00230	CDS	1470	mtlK	1.1.1.67	COG0246	Mannitol 2-dehydrogenase
MAMBLCDF_00231	CDS	1281	dctM_2		COG1593	C4-dicarboxylate TRAP transporter large permease protein DctM
MAMBLCDF_00232	CDS	534				hypothetical protein
MAMBLCDF_00233	CDS	984			COG1638	Solute-binding protein
MAMBLCDF_00234	CDS	342				hypothetical protein
MAMBLCDF_00235	CDS	765	kduD_1	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
MAMBLCDF_00236	CDS	834	kduI	5.3.1.17		4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase
MAMBLCDF_00237	CDS	1404	uxaC	5.3.1.12	COG1904	Uronate isomerase
MAMBLCDF_00238	CDS	780	nanR_2			HTH-type transcriptional repressor NanR
MAMBLCDF_00239	CDS	1491	hbpA_1		COG0747	Heme-binding protein A
MAMBLCDF_00240	CDS	948	gsiC_1		COG0601	Glutathione transport system permease protein GsiC
MAMBLCDF_00241	CDS	327				hypothetical protein
MAMBLCDF_00242	CDS	864	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
MAMBLCDF_00243	CDS	1392	aam_1	3.5.1.13	COG0154	Acylamidase
MAMBLCDF_00244	CDS	411				hypothetical protein
MAMBLCDF_00245	CDS	453				hypothetical protein
MAMBLCDF_00246	CDS	222				hypothetical protein
MAMBLCDF_00247	CDS	432				hypothetical protein
MAMBLCDF_00248	CDS	327	sdpR		COG0640	Transcriptional repressor SdpR
MAMBLCDF_00249	CDS	801	actIII_1	1.3.1.-		Putative ketoacyl reductase
MAMBLCDF_00250	CDS	582				hypothetical protein
MAMBLCDF_00251	CDS	924	xerC_1		COG4973	Tyrosine recombinase XerC
MAMBLCDF_00252	CDS	1056	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
MAMBLCDF_00253	CDS	960	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
MAMBLCDF_00254	CDS	1317	dprE1	1.1.98.3	COG0277	Decaprenylphosphoryl-beta-D-ribose oxidase
MAMBLCDF_00255	CDS	423	rnk_1		COG0782	Regulator of nucleoside diphosphate kinase
MAMBLCDF_00256	CDS	1455	pigE_1	2.6.1.-		Aminotransferase PigE
MAMBLCDF_00257	CDS	1005	galE_1	5.1.3.2	COG1087	UDP-glucose 4-epimerase
MAMBLCDF_00258	CDS	126				hypothetical protein
MAMBLCDF_00259	CDS	369	arnF			4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF
MAMBLCDF_00260	CDS	939				hypothetical protein
MAMBLCDF_00261	CDS	606	gst_1	2.5.1.18	COG0625	Glutathione S-transferase
MAMBLCDF_00262	CDS	558	erfK_1	2.-.-.-	COG1376	putative L,D-transpeptidase ErfK/SrfK
MAMBLCDF_00263	CDS	1296				hypothetical protein
MAMBLCDF_00264	CDS	627				hypothetical protein
MAMBLCDF_00265	CDS	927	yadG_1		COG1131	putative ABC transporter ATP-binding protein YadG
MAMBLCDF_00266	CDS	777	yadH_1		COG0842	Inner membrane transport permease YadH
MAMBLCDF_00267	CDS	1677				hypothetical protein
MAMBLCDF_00268	CDS	1623	prfC_1		COG4108	Peptide chain release factor 3
MAMBLCDF_00269	CDS	1233				hypothetical protein
MAMBLCDF_00270	CDS	1293	purA_1	6.3.4.4	COG0104	Adenylosuccinate synthetase
MAMBLCDF_00271	CDS	579				hypothetical protein
MAMBLCDF_00272	CDS	744				hypothetical protein
MAMBLCDF_00273	CDS	1212	hipO_2	3.5.1.32	COG1473	Hippurate hydrolase
MAMBLCDF_00274	CDS	1680				hypothetical protein
MAMBLCDF_00275	CDS	135				hypothetical protein
MAMBLCDF_00276	CDS	1623	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
MAMBLCDF_00277	CDS	609	betI_2			HTH-type transcriptional regulator BetI
MAMBLCDF_00278	CDS	606	kefF	1.6.5.2		Glutathione-regulated potassium-efflux system ancillary protein KefF
MAMBLCDF_00279	CDS	882	ipuF	3.4.-.-		Gamma-glutamyl-L-1-hydroxyisopropylamide hydrolase
MAMBLCDF_00280	CDS	906				hypothetical protein
MAMBLCDF_00281	CDS	1017	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
MAMBLCDF_00282	CDS	195				hypothetical protein
MAMBLCDF_00283	CDS	213				hypothetical protein
MAMBLCDF_00284	CDS	1590	serA_1	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
MAMBLCDF_00285	CDS	1179	serC_2	2.6.1.52		Phosphoserine aminotransferase
MAMBLCDF_00286	CDS	159				hypothetical protein
MAMBLCDF_00287	CDS	264				hypothetical protein
MAMBLCDF_00288	CDS	3117	putA		COG0506	Bifunctional protein PutA
MAMBLCDF_00289	CDS	522	lrp_1		COG1522	Leucine-responsive regulatory protein
MAMBLCDF_00290	CDS	1053	thiY		COG0715	Formylaminopyrimidine-binding protein
MAMBLCDF_00291	CDS	789	tauB	7.6.2.7	COG4525	Taurine import ATP-binding protein TauB
MAMBLCDF_00292	CDS	771	ribX_1			Riboflavin transport system permease protein RibX
MAMBLCDF_00293	CDS	1620	acsA_2	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
MAMBLCDF_00294	CDS	1131				hypothetical protein
MAMBLCDF_00295	CDS	1098	yjiA_1	3.6.-.-	COG0523	P-loop guanosine triphosphatase YjiA
MAMBLCDF_00296	CDS	921				hypothetical protein
MAMBLCDF_00297	CDS	1563				hypothetical protein
MAMBLCDF_00298	CDS	906				hypothetical protein
MAMBLCDF_00299	CDS	1170	yhfS	2.3.1.-	COG0183	Putative acetyl-CoA C-acetyltransferase YhfS
MAMBLCDF_00300	CDS	1194				hypothetical protein
MAMBLCDF_00301	CDS	273	bolA_1		COG0271	DNA-binding transcriptional regulator BolA
MAMBLCDF_00302	CDS	618	dnaJ_1			Chaperone protein DnaJ
MAMBLCDF_00303	CDS	1470				hypothetical protein
MAMBLCDF_00304	CDS	1176	glxK	2.7.1.31	COG1929	Glycerate 3-kinase
MAMBLCDF_00305	CDS	1389				hypothetical protein
MAMBLCDF_00306	CDS	558	ecfG_1			ECF RNA polymerase sigma factor EcfG
MAMBLCDF_00307	CDS	780				hypothetical protein
MAMBLCDF_00308	CDS	2004	ecm	5.4.99.63	COG1884	Ethylmalonyl-CoA mutase
MAMBLCDF_00309	CDS	1164	tarD	4.2.1.81	COG4948	D(-)-tartrate dehydratase
MAMBLCDF_00310	CDS	1329	lysN	2.6.1.39	COG1167	2-aminoadipate transaminase
MAMBLCDF_00311	CDS	498				hypothetical protein
MAMBLCDF_00312	CDS	864	nit1_1	3.5.1.128		Deaminated glutathione amidase
MAMBLCDF_00313	CDS	258	grxC_1		COG0695	Glutaredoxin 3
MAMBLCDF_00314	CDS	801	prs_1			Putative ribose-phosphate pyrophosphokinase
MAMBLCDF_00315	CDS	1134	nemA	1.3.1.-	COG1902	N-ethylmaleimide reductase
MAMBLCDF_00316	tRNA	76				tRNA-Glu(ctc)
MAMBLCDF_00317	CDS	453				hypothetical protein
MAMBLCDF_00318	CDS	111				hypothetical protein
MAMBLCDF_00319	CDS	342				hypothetical protein
MAMBLCDF_00320	CDS	1005	cysK_1	2.5.1.47		Cysteine synthase
MAMBLCDF_00321	CDS	534				hypothetical protein
MAMBLCDF_00322	CDS	1020				hypothetical protein
MAMBLCDF_00323	CDS	1020				hypothetical protein
MAMBLCDF_00324	CDS	807	ssuB_1	3.6.3.-	COG1116	Aliphatic sulfonates import ATP-binding protein SsuB
MAMBLCDF_00325	CDS	354	pcoC		COG2372	Copper resistance protein C
MAMBLCDF_00326	CDS	1776				hypothetical protein
MAMBLCDF_00327	CDS	627				hypothetical protein
MAMBLCDF_00328	CDS	969	ssuR_1			HTH-type transcriptional regulator SsuR
MAMBLCDF_00329	CDS	972	fgd_1	1.1.98.2		F420-dependent glucose-6-phosphate dehydrogenase
MAMBLCDF_00330	CDS	1353	moxC	1.14.-.-	COG2141	Putative monooxygenase MoxC
MAMBLCDF_00331	CDS	1179	hipO_3	3.5.1.32	COG1473	Hippurate hydrolase
MAMBLCDF_00332	CDS	528				hypothetical protein
MAMBLCDF_00333	CDS	1770	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
MAMBLCDF_00334	CDS	945				hypothetical protein
MAMBLCDF_00335	CDS	924				hypothetical protein
MAMBLCDF_00336	CDS	1185	soxA_1	1.5.3.1		Monomeric sarcosine oxidase
MAMBLCDF_00337	CDS	1329	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
MAMBLCDF_00338	CDS	579	hsaB	1.5.1.36	COG1853	Flavin-dependent monooxygenase, reductase subunit HsaB
MAMBLCDF_00339	CDS	699				hypothetical protein
MAMBLCDF_00340	CDS	768	glnQ_2			Glutamine transport ATP-binding protein GlnQ
MAMBLCDF_00341	CDS	774	ycdF	1.1.1.47	COG1028	Glucose 1-dehydrogenase 2
MAMBLCDF_00342	CDS	990	wbiB	5.1.3.25		dTDP-L-rhamnose 4-epimerase
MAMBLCDF_00343	CDS	672	yecS_2		COG0765	L-cystine transport system permease protein YecS
MAMBLCDF_00344	CDS	675	glnM_2		COG0765	putative glutamine ABC transporter permease protein GlnM
